GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo/org.jacoco.core,org.jacoco.core.tools,ExecFileLoader,5,100,1,1,0,30,1,7,0,7
JaCoCo/org.jacoco.core,org.jacoco.core.tools,ExecDumpClient,12,111,0,2,4,38,2,10,2,9
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,URLStreamHandlerRuntime.new URLConnection() {...},4,13,0,0,1,2,1,2,1,2
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,URLStreamHandlerRuntime.new URLStreamHandler() {...},0,10,0,0,0,2,0,2,0,2
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,AbstractRuntime,4,12,0,0,1,4,1,3,1,3
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,ModifiedSystemClassRuntime,16,112,0,0,4,25,1,7,1,7
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,AgentOptions.OutputMode,0,58,0,0,0,5,0,4,0,4
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,LoggerRuntime,0,101,0,0,0,28,0,5,0,5
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,RuntimeData,15,205,0,4,1,56,0,12,0,10
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,RemoteControlWriter,0,22,0,0,0,8,0,3,0,3
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,AgentOptions,0,501,0,34,0,108,0,62,0,45
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,ModifiedSystemClassRuntime.new ClassVisitor() {...},0,16,0,0,0,4,0,2,0,2
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,ModifiedSystemClassRuntime.new ClassFileTransformer() {...},0,21,0,2,0,4,0,3,0,2
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,LoggerRuntime.RuntimeHandler,9,20,1,1,3,4,3,2,2,2
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,CommandLineSupport,3,216,1,39,2,51,2,24,1,4
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,OfflineInstrumentationAccessGenerator,0,40,0,0,0,10,0,3,0,3
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,RemoteControlReader,0,42,0,5,0,15,0,7,0,4
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,URLStreamHandlerRuntime,0,129,0,0,0,31,0,5,0,5
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,SystemPropertiesRuntime,0,56,0,0,0,13,0,4,0,4
JaCoCo/org.jacoco.core,org.jacoco.core.runtime,WildcardMatcher,0,106,0,9,0,21,0,8,0,3
JaCoCo/org.jacoco.core,org.jacoco.core.instr,Instrumenter,12,265,0,15,4,60,0,21,0,12
JaCoCo/org.jacoco.core,org.jacoco.core.instr,Instrumenter.new ClassWriter() {...},4,8,0,0,1,1,1,1,1,1
JaCoCo/org.jacoco.core,org.jacoco.core.data,SessionInfo,0,57,0,6,0,16,0,9,0,6
JaCoCo/org.jacoco.core,org.jacoco.core.data,ExecutionDataStore,0,166,0,12,0,36,0,17,0,11
JaCoCo/org.jacoco.core,org.jacoco.core.data,ExecutionDataReader,0,168,0,20,0,47,0,19,0,8
JaCoCo/org.jacoco.core,org.jacoco.core.data,ExecutionData,0,188,0,14,0,35,0,18,0,11
JaCoCo/org.jacoco.core,org.jacoco.core.data,ExecutionDataWriter,6,101,0,2,2,33,0,8,0,7
JaCoCo/org.jacoco.core,org.jacoco.core.data,SessionInfoStore,0,88,0,6,0,19,0,9,0,6
JaCoCo/org.jacoco.core,org.jacoco.core.data,IncompatibleExecDataVersionException,0,25,0,0,0,5,0,3,0,3
JaCoCo/org.jacoco.core,org.jacoco.core.analysis,ICoverageNode.ElementType,9,69,0,0,0,7,2,2,2,2
